"English Term","Rule","Preferred Usage","Note"
"AI","Keep as-is","AI","Use in Latin script throughout Arabic copy."
"NLP","Keep as-is","NLP","Use “AI وNLP”, not “AI/NLP”, in Arabic sentences."
"Agentic AI","Keep as-is","Agentic AI","Established emerging industry term."
"AI Agent","Keep as-is","AI Agent","Use for the technical system."
"AI Governance","Keep as-is","AI Governance","Use الحوكمة only when governance is generic rather than AI-specific."
"Organizational Singularity","Keep as-is","Organizational Singularity","Named concept from the referenced lecture."
"Product & Technology","Keep as-is","Product & Technology","Fixed industry phrase; do not alternate with قيادة المنتج والتقنية for the same concept."
"Head of Product & Technology","Keep as-is","Head of Product & Technology","Official role title pending owner verification."
"Software Engineering","Keep as-is","Software Engineering","Fixed discipline name across biography, themes, and milestones."
"Software Development","Keep as-is","Software Development","Use only when development work, rather than the engineering discipline, is intended."
"Robotics Simulation","Keep as-is","Robotics Simulation","Fixed technical domain term."
"Delivery Reliability","Keep as-is","Delivery Reliability","Fixed professional capability label."
"Technical Strategy","Keep as-is","Technical Strategy","Fixed professional capability label."
"Features","Keep as-is","Features","Use in product and software contexts."
"Workflow","Keep as-is","Workflow","Use when referring to a defined operational or technical workflow."
"Web","Keep as-is","Web","Use as the technical platform term."
"CAD","Keep as-is","CAD","Standard industry abbreviation."
"LinkedIn","Keep as-is","LinkedIn","Brand name."
"Notion","Keep as-is","Notion","Brand name."
"MSc in Big Data Systems","Keep as-is","MSc in Big Data Systems","Credential wording pending degree-title verification."
